Model,phone_model,OS_binary,OS,Geekbench_5_rating_online,Geekbench_5_single_core,Geekbench_5_multiple_core,3D_Mark_rating,Touch_refresh_Hz,Display_refresh_Hz
Samsung A30,Samsung SM-A305G,Android,Android 10,252,269,975,404,,
Samsung Galaxy S9,Samsung SM-G960U,Android,,569,510,2183,1411,,
Motorola moto g stylus,Motorola moto g stylus (XT2115DL),Android,,,544,1559,381,,
Samsung A12,Samsung SM-A125M,Android,Android 10,,167,1005,,,
Samsung A52,Samsung SM-A525M,Android,Android 11,,538,1624,1041,,
iPhone 11,iPhone12_1,iOS,,1302,1334,3216,7521,,
iPhone XR,iPhone11_8,iOS,,1103,1118,1777,5273,,
iPhone XS,iPhone11_2,iOS,,1106,1120,2439,5762,,
iPhone 7,iPhone9_1,iOS,,726,778,1422,2625,60,60
iPhone 8,iPhone10_4,iOS,iOS 14.6,909,925,1467,3229,60,60
iPhone X,iPhone10_3,iOS,,908,932,2341,3592,120,60
,Samsung SM-A515F,Android,,313,342,1295,812,,
Samsung A32,Samsung SM-A325M,Android,,,346,1301,,,
Samsung A10,Samsung SM-A102U,Android,,,211,530,,,
Samsung A01,Samsung SM-S111DL,Android,,,145,536,,,
moto e,,,,,,,,,
nokia 2 v tella,,,,,,,,,
Wiko Ride 3,TINNO Wiko U614AS,Android,Android 11,,143,859,,,
LG Journey,LGE LGL322DL,Android,,,107,366,,,
Google Pixel 3a,,Android,Android 11,,339,1230,,,